	Universidad	Título	Tesista	Grado	Asesor	Resumen	Año	Disciplina
761	Pontificia Universidad Católica del Perú	Diseño de un sistema de gestión de seguridad de información para una compañía de seguros	Ampuero Chang, Carlos Enrique	Título Profesional	Vásquez, Desiderio A.	"En la actualidad, con el desarrollo de la tecnología, la información ha tomado mayor
fuerza en las empresas, convirtiéndose en la mayoría de los casos en el activo más
importante que tienen. Es por esta razón que tienen la obligación de proteger aquella
información que es importante para ellas y que tiene relación ya sea con el negocio o
con los clientes.
La Superintendencia de Banca, Seguros y AFP, en el 2009, elaboró la circular G140,
que estipula que todas las empresas peruanas que son reguladas por este organismo
deben contar con un plan de seguridad de información. La presente tesis busca diseñar
un sistema de gestión de seguridad de información para una compañía de seguros que
cubra lo que pide la circular para evitar problemas regulatorios con este organismo.
Para esto, se utilizarán estándares y buenas prácticas reconocidos mundialmente para
poder desarrollar cada una de las etapas del diseño del Sistema de Gestión de
Seguridad de Información (SGSI) y así poder tener una base que se pueda implementar
en cualquier compañía de seguros. Cabe resaltar que estos estándares y buenas
prácticas indican qué es lo que se debe realizar, pero no especifican cómo se deben
implementar los controles. Estos van a depender de la necesidad de la empresa y de la
inversión que desee realizar en temas de seguridad, con lo que se puede afirmar que lo
expuesto en la tesis es una forma de como se puede diseñar un SGSI."	2011	Ingeniería Informática
763	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema de información para la gestión académica de un instituto superior tecnológico	Norabuena Guevara, Alexander Daniel	Título Profesional	Vásquez, Desiderio A.	"La gestión de la información académica en los Institutos Superiores
Tecnológicos, sean privados o estatales, requieren el uso de mecanismos que
aseguren un manejo eficiente y contribuyan a incrementar la calidad de los
servicios que se brindan a los alumnos. El presente proyecto plantea la
construcción de un software que implemente estas características tan
importantes para el desempeño del personal del área de Dirección
Académica.
El proyecto se desarrolla y divide en cuatro secciones.
La primera sección realiza una presentación de los conceptos necesarios
para la comprensión del problema, define el plan del proyecto, y muestra
algunas soluciones actuales que ofrecen las tecnologías de información.
La segunda sección del proyecto presenta el análisis realizado para la
elaboración del software. Este análisis presenta los requerimientos
identificados del cliente, los costos y beneficios del uso del software, y las
herramientas y tecnologías necesarias para la implementación proyecto.
La tercera sección expone el diseño del software, explicando las tecnologías
utilizadas para la construcción del producto, así como las pruebas realizadas
para verificar su correcto funcionamiento.
La cuarta sección expone las observaciones, conclusiones y
recomendaciones obtenidas durante el desarrollo del proyecto.
Finalmente, el proyecto adjunta los anexos referidos a los documentos
elaborados en las etapas de análisis y diseño del software."	2011	Ingeniería Informática
772	Pontificia Universidad Católica del Perú	Análisis y diseño de un sistema informatizado para la dinamización de los procesos y procedimientos practicados en la atención médico hospitalaria de los pacientes de oncología de un hospital público. Caso de estudio	Sánchez Mercado, Álvaro Cristian	Título Profesional	Vásquez, Desiderio A.	"El hombre, en su evolución como ser social, ha formado cada vez asentamientos
humanos más grandes, y con ello, también ha incrementado la demanda de servicios
asistenciales. Con el objetivo de cubrir tales demandas, ha construido centros,
capaces de prestar un gran número de servicios asistenciales clasificados por áreas
de atención (entre otras el área de Oncología) y, en cada una de ellas, ha
implementado procesos propios de atención; así mismo, cuentan con varias áreas de
soporte asistencial, como por ejemplo: laboratorio clínico y laboratorio de imágenes.
En el área de oncología de un centro asistencial público, como el caso del hospital
Santa Rosa, se pueden encontrar dos problemas fundamentales: El primero, tiempos
de atención muy extensos; esto debido, al tiempo que se pierde en la revisión de las
voluminosas y desordenadas historias clínicas de estos pacientes en particular. El
segundo problema, tiene que ver con el almacenamiento de datos referentes a la
atención de los pacientes (historias clínicas); estos datos son necesarios para crear los
bancos de datos para los estudios de investigación que se hacen en ésta área de la
medicina.
El presente trabajo, procura un análisis formal de los procedimientos que se dan en los
procesos de atención de ésta área y, propone el diseño de un sistema de información
que ayude a la dinamización de los mismos, haciendo uso de las buenas prácticas
recomendadas por RUP (Rational Unified Process) y teniendo como marco para la
gestión del proyecto el PMBOK (Project Management Body of Knowledge).
Muestra, el diseño de un sistema de información que, ayuda en la dinamización de los
procesos y procedimientos practicados en la atención médico hospitalario del área de
Oncología del hospital Santa Rosa, y que, hace hincapié en la recolección de
parámetros (datos) utilizados para las investigaciones de las ciencias oncológicas.
Para ello, diseña una historia clínica electrónica con las mejoras en los protocolos o
evaluaciones practicados a los pacientes, propuestas por los especialistas de área. Un
ejemplo de ello es el protocolo de Anamnesis.
Debido a que, la alimentación de las historias clínicas no sólo depende del área de
Oncología, sino que además, intervienen para ello varias áreas de soporte; se hizo
diseños parciales de éstas otras áreas contributivas de información o intervinientes en
la atención médico hospitalarias de los pacientes del área de Oncología."	2011	Ingeniería Informática
839	Pontificia Universidad Católica del Perú	Sistema de gestión de estrategias e indicadores utilizando metodologías de inteligencia de negocios en una universidad privada	Miculicich Werlen, Lesly Sadiht	Título Profesional	Blanco Blasco, Juan Antonio	"Continuamente el mundo está evolucionando hacia la búsqueda de nuevas ideas,
surgen cambios a través del tiempo que afectan a todos los elementos de la
sociedad. Una organización, como elemento de la sociedad, está sujeta a que el
entorno forme parte de los aspectos que debe evaluar para seguir subsistiendo.
Uno de los cambios que ha surgido con fuerza es el enfoque de los sistemas de
información, ya no solamente apoyan a las actividades operacionales, ha nacido
hace unos años una línea de sistemas que se preocupa también por la gestión
misma de la empresa. Tal es el caso de las herramientas que apoyan a la toma de
decisiones y del concepto no muy reciente de Inteligencia de Negocios.
El objetivo de presente proyecto es desarrollar una solución de éste tipo aplicada a
la gestión de estrategia y operativa dentro de una organización. Esta herramienta
dará soporte al desarrollo de Cuadro de Mandos y Cuadros de Mando Integrales
para alcanzar su propósito.
El Cuadro de Mando o también conocido como Tablero de Mando tiene como
objetivo permitir analizar de forma sencilla el estado de la organización en los
aspectos más importantes y con ello buscar mayor información que permita
encontrar los puntos débiles y las fortalezas para poder tomar decisiones en base a
ello.
El Cuadro de Mando Integral está basado en un Cuadro de Mando, pero tiene un
concepto más elaborado que implica alinear todas las actividades de la
organización hacia el logro de los objetivos estratégicos, para esto ve a la
organización desde cuatro perspectivas: cliente, financiera, procesos internos, y
aprendizaje y desarrollo. Para cada perspectiva se plantearán objetivos medibles en
el tiempo, los cuales interactúan entre sí por relaciones de causa-efecto.
Incluir este tipo de herramientas al negocio de la empresa comprende beneficios
claros de mejora en el rendimiento en general. Mientras más información se tenga,
y esta sea más confiable y precisa, el proceso de toma de decisiones apuntará
más certeramente el éxito."	2011	Ingeniería Informática
866	Pontificia Universidad Católica del Perú	Sistema de información para la administración de un colegio	López Rengifo, Paolo	Título Profesional	Hevia Garrido Lecca, Julio	"Alcances:
 Educación Básica Regular.
 Niveles de Primaria y Secundaria.
 Periodos de evaluaciones bimestrales.
 Turnos de mañana y tarde.
 Días de clase de lunes a viernes o lunes a sábado.
 Recaudación de pagos para las obligaciones de los alumnos a través de una o
más entidades bancarias.
Funcionalidades:
 Procesos básicos de colegio desarrollados:
 Elaboración y cálculo de notas.
 Control en las asistencias de los profesores.
 Control en las asistencias de los alumnos.
 Seguimiento a las obligaciones de pago en los alumnos.
 Seguridad en el uso del sistema a nivel de menú y acciones.
 Modo de trabajo Multiusuario.
Criterios técnicos:
 Implementación en arquitectura 3 capas.
 Implementación en plataforma Web.
 Empleo de tecnología Java como lenguaje de desarrollo.
 Utilización de PostgreSQL como motor de base de datos.
 Utilización de una metodología orientada a objetos.
 Utilización de la notación UML.
El trabajo expuesto ofrece servicios que pretenden en comparación al trabajo tradicional
reducir los tiempos ineficientes, integrar datos y obtener una mejor información.
Asimismo, el empleo de la Web como medio tecnológicamente de vanguardia en cuanto
a su uso para la Internet, y el de herramientas y tecnologías libres que brindan una
respuesta al propósito de disminuir los costos por concepto de adquisición de licencias
en beneficio de que los colegios puedan adquirir un aplicativo a un precio que les sea
accesible, se añaden entre sus principales beneficios."	2007	Ingeniería Informática
867	Pontificia Universidad Católica del Perú	Análisis y diseño de sistema de gestión de operaciones aduaneras para una agencia de aduanas	Vargas Machuca Fernández, Paul Brian	Título Profesional	Hevia Garrido Lecca, Julio	"El presente proyecto de tesis consiste en realizar el análisis y diseño de un sistema de
información para una agencia de aduanas, de tal forma que permita gestionar las operaciones
aduaneras de sus clientes: importadores y exportadores de mercancías. A través de esta
herramienta se podrá dar soporte a las tareas críticas del área de operaciones de las agencias
de aduana, para que así puedan controlar las órdenes de servicio que solicitan los clientes para
la atención de sus operaciones.
Durante el desarrollo de este proyecto, primero se especificarán los principales procesos de
negocio de una agencia de aduanas y los roles involucrados en los mismos. Luego, se
identificarán y especificarán los requisitos o requerimientos funcionales del negocio y los casos
de usos del sistema. Por último, se realizará el análisis y diseño del sistema, el cual servirá
como base para la implementación del mismo.
La estructura de la presente tesis contiene un total de 6 capítulos, los cuales se detallan a
continuación:
El capítulo 1 es una introducción al tema de tesis mediante la descripción del problema y los
objetivos generales y específicos de la tesis.
El capítulo 2 es el marco teórico necesario para comprender los antecedentes generales, los
roles involucrados y los procesos de negocio detallados en forma descriptiva y gráfica a través
de flujogramas.
El capítulo 3 comprende la identificación de los requisitos o requerimientos funcionales del
negocio y la especificación de los mismos mediante los diagramas y especificaciones de los
actores del sistema, los paquetes del sistema y los casos de uso.
El capítulo 4 comprende el análisis del software, es decir, los diagramas y especificaciones de
las clases de análisis y de los estados.
El capítulo 5 comprende el diseño del software, es decir, la arquitectura propuesta del sistema y
el diseño de los procesos mediante la especificación de los diagramas de secuencia y el diseño
de las interfaces de usuario.
El capítulo 6 comprende las conclusiones y recomendaciones finales de la tesis."	2008	Ingeniería Informática
868	Pontificia Universidad Católica del Perú	Metodología para la auditoría integral de la gestión de la tecnología de información	Alfaro Paredes, Emigdio Antonio	Título Profesional	Hevia Garrido Lecca, Julio	"De la revisión de la literatura sobre estándares internacionales de calidad relacionados a la gestión de tecnología de información (COBIT, ISO/IEC 12207, ISO/IEC 17799, ISO/IEC 20000 (ITIL), PMBOK, ISO/IEC 27001, IEEE 1058-1998, ISO 9001:2000 e ISO 19011:2002), MoProSoft 1.3, y las normas relacionadas a la auditoría informática en el Estado Peruano, se concluye que no existe una metodología para la auditoría integral de la gestión de la tecnología de información. Los enfoques actuales están basados sobre el proceso general de auditoría sumándoles las inclusiones no integradas de los diversos estándares de calidad internacional, o las normas vigentes para las entidades que son sujetas de evaluación en una auditoría. El objetivo de la tesis fue el desarrollo de una metodología para la auditoría integral de la gestión de la tecnologías de información (MAIGTI), con un enfoque de procesos, basado en estándares de calidad internacionales.

MAIGTI enlaza los diversos conceptos de COBIT, ISO/IEC 12207, ISO/IEC 17799, ISO/IEC 20000 (ITIL), Y PMBOK, sobre la base de una simplificación del proceso general de auditoría descrito en la norma ISO 19011:2002, y sobre la base de una adaptación del esquema de procesos de la ISO 9001:2000 (ISO, 2000). MAIGTI comprende los siguientes elementos: (a) objetivo (la finalidad de la auditoría), (b)  alcance (detalle de lo que está incluido y lo que no está incluido como parte de la auditoría), (c) entradas (requerimientos de información), (d) proceso de MAIGTI (evaluaciones a realizar) y (e) salidas (papeles de trabajo e informe de auditoría). Asimismo, cada uno de los procedimientos para la evaluación de los principales objetivos de control dentro de los subprocesos de MAIGTI, comprende la siguiente estructura: (a) objetivo (la finalidad del procedimiento de auditoría), (b) alcance (detalle de lo que está incluido y lo que no está incluido como parte de la auditoría a realizarse a través del procedimiento), (c) entradas (requerimientos de información para ejecutar el procedimiento de auditoría), (d) proceso (detalle de los pasos a seguir en el procedimiento de auditoría), y (e) salidas (hallazgos evidenciados como resultado de la ejecución del proceso). En los procedimientos descritos en el anexo 1, se ha detallado como salidas, algunos hallazgos posibles que se derivan como resultado de la experiencia de las aplicaciones de MAIGTI en auditorías realizadas por el autor de la tesis.

MAIGTI ha sido aplicada principalmente a 2 empresas de seguros y de manera parcial 8 entidades más, auditadas por el autor de la tesis, siendo aplicable para entidades usuarias de tecnología de información. Se recomienda ampliar MAIGTI o crear otra metodología, para la auditoría integral de la gestión de tecnología de información en entidades proveedoras de servicios de tecnología de información."	2008	Ingeniería Informática
869	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema para el control de gastos en personal en los proyectos de una ONG	Vílchez Troncoso, Rodolfo	Título Profesional	Hevia Garrido Lecca, Julio	"El trabajo desarrollado comprende el análisis, diseño e implementación de un sistema
para el control de gastos en pago de haberes del personal involucrado en la ejecución de
proyectos de una Organización no Gubernamental (ONG). Esto es resultado de la
evaluación de mejora de procesos y esfuerzo de la organización en su apuesta por la
utilización de tecnologías de la información como un medio facilitador para sus
actividades del día a día.
Para lograr este cometido se planteó el manejo automatizado del control de gastos en
pagos de personal, contemplando el efecto que grava sobre los presupuestos obtenidos y
aprobados por proyecto. Los gastos en pago de haberes considerados excluyen los
gastos administrativos involucrados en esta actividad, debido a que la ONG no los
considera como gastos significativos de los que se requiera llevar un control detallado. En
consecuencia, la evaluación del impacto de estos gastos para la organización se queda
como futuro trabajo de análisis.
Tomando en cuenta que el adecuado control de los saldos de presupuestos aprobados
por proyecto es una actividad crítica para identificar oportunamente las brechas de los
gastos reales versus los proyectados, la solución desarrollada plantea el seguimiento de
los gastos reales incurridos en el pago de haberes del personal bajo el esquema de
control de horas de trabajo incurridas por proyecto. Adicionalmente, considerando que
una de las actividades de control de saldos de presupuestos consiste en gestionar
adecuadamente la asignación del personal a proyectos, la solución incluye el uso de
algoritmos que sugieran la combinación del personal para un determinado proyecto.
Estas sugerencias se realizan considerando la experiencia mínima requerida de personal
y el gasto en pago de haberes en el cual se incurrirá. Es importante precisar que la
solución no pretende reemplazar la decisión del Director de la organización, quien
finalmente decide tomar la sugerencia generada y asumir así el riesgo que esta decisión
implique. En este aspecto, se planteó como alternativa de solución la utilización de un
algoritmo Meta-heurístico, GRASP – Fase de construcción, debido a sus características
para resolver problemas combinatorios y de asignación de elementos, en este caso
aplicado a la asignación de personal a proyectos.
Finalmente, se desarrollaron reportes que permiten identificar el estado de los proyectos
de forma sólida y que, a su vez, proporcionan herramientas de gestión para el control de
trabajos realizados por la organización."	2008	Ingeniería Informática
875	Pontificia Universidad Católica del Perú	Intérprete y entorno de desarrollo para el aprendizaje de lenguajes de programación estructurada	Hirsh Martínez, Layla	Título Profesional	Hevia Garrido Lecca, Julio	"Este proyecto tiene como objetivo principal el diseño, desarrollo e implementación de un
intérprete de un lenguaje de programación que pueda ser usado en los primeros cursos de
introducción a la computación. El trabajo muestra cómo se pueden crear intérpretes, lo que
en nuestro país tiene escasa tradición, a diferencia de lo que ocurre en los países más
desarrollados. Además, presenta un entorno de desarrollo integrado para facilitar la
introducción a la programación, ofreciendo un ambiente amigable y un lenguaje de
programación totalmente basado en el idioma español. En opinión de la autora esta
segunda característica favorecerá a que el alumno entienda mejor el lenguaje y los
procesos de computación.
En el capítulo 1 del presente documento se presenta la descripción del problema de escoger
un lenguaje adecuado para la enseñanza de los primeros cursos de programación, las
opciones que tenemos en nuestra actualidad y una posible solución a este problema.
En el capítulo 2 se formula una propuesta que resuelve el problema planteado en el capítulo
1 que permite definir el lenguaje, su funcionamiento y el entorno en el que se ha de ejecutar.
El capítulo 3 presenta la implementación del intérprete y la del entorno, propuestos
anteriormente.
En el capítulo 4 se exponen las observaciones, conclusiones, recomendaciones y trabajos
futuros, tanto del intérprete como del entorno."	2007	Ingeniería Informática
880	Pontificia Universidad Católica del Perú	StadCore - herramienta estadística modular : una orientación a los procesos de confiabilidad y análisis de psicometría	Rojas Bustillos, Koening Alfredo	Título Profesional	Hevia Garrido Lecca, Julio	"La posibilidad de tener una herramienta que de una solución completa a un determinado problema es difícil de encontrar en la actualidad. Las herramientas orientadas a áreas específicas de estudio son prácticamente escasas y normalmente requieren del uso de más de una aplicación para llegar a un resultado. De esta forma, se obtienen soluciones parciales a una problemática, lo que ocasiona la necesidad de recurrir a otras herramientas para que terminen el trabajo.
Un caso muy particular de este problema es el del proceso de psicometría en el cual las etapas de confiabilidad y análisis requieren del uso de varias herramientas. Además, las soluciones obtenidas en cada etapa no son completas dado que se necesita realizar procesos no automatizados que tienen mayor probabilidad de conllevar a errores. La presencia de estos errores en un test trae consigo importantes consecuencias dado que podría obtenerse conclusiones inexactas.
Para solucionar este problema se implementó una herramienta que sea lo suficientemente flexible como para permitir ampliar sus funcionalidades  a diversas áreas de trabajo. Debido a que las hojas de cálculo electrónicas son aplicaciones que fácilmente pueden desempeñarse en cualquier área de estudio, se utilizó esta característica como interfaz de la herramienta. Bajo este modelo, se diseñó una arquitectura que permita soportar la ampliación mediante módulos con archivos XML como interfaces.
Respecto al problema del proceso de psicometría, se estará contando con un módulo orientado al proceso de confiabilidad y de análisis que automatizará sus procesos manuales, mejorando el tiempo de respuesta.
La presente tesis se desarrolló utilizando UML como lenguaje de modelamiento, RUP para los procesos a seguir durante el trabajo y Six Sigma para alcanzar un nivel deseado en la mejora de los procesos implementados."	2007	Ingeniería Informática
932	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema gerencial basado en una suite integrada de datamarts para las áreas de finanzas, contabilidad, recursos humanos y comercial	Mendoza Paitán, Sergio Mauricio	Título Profesional	San Bartolomé Ramos, Ángel Francisco	El presente proyecto de tesis consiste en analizar, diseñar, y construir un sistema de información, en un entorno amigable e intuitivo, que permita realizar el análisis a nivel gerencial de las áreas de Finanzas, Contabilidad, Recursos Humanos y Comercial dentro de una empresa que brinda servicios o comercializa productos y que tenga implantado un ERP para la llevar la operación de los procesos de negocio. La solución consistirá en una gama de reportes de análisis gerenciales que permitan visualizar Indicadores de Gestión para las cuatro áreas mencionadas y ser herramientas de apoyo para la toma de decisiones de la alta dirección de la organización. Para el proyecto de tesis para efectos prácticos se tomará como fuente de datos transaccionales la base de datos del ERP O7/Solution.	2011	Ingeniería Informática
933	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un sistema de simulación para la enseñanza de gravitación universal dirigido a estudiantes de secundaria y pre-grado universitario	Valdez Mejía, Miguel Javier	Título Profesional	San Bartolomé Ramos, Ángel Francisco	"El tema de Gravitación Universal define el comportamiento que tienen los cuerpos
físicos frente a otros, describiendo las causas de los cambios en sus movimientos.
Para entender este tema se requiere realizar experimentos en los laboratorios.
Para realizar experimentos de Gravitación Universal en el dominio de física en los
laboratorios, se presentan los siguientes problemas: Alto costo de infraestructura del
ambiente y los materiales; falta de demostración de los experimentos relacionados con
el tema de Gravitación Universal y complicados procesos de preparación y de
desarrollo de los experimentos físicos.
El presente proyecto de tesis consiste en analizar, diseñar e implementar un sistema
de simulación para la enseñanza de Gravitación Universal dirigido a estudiantes de
secundaria y pre-grado universitario, que permita simular ambientes o escenarios de
experimentos físicos.
El sistema planteado es una herramienta educativa que permite al alumno analizar los
experimentos físicos creados por el mismo, desarrollando su creatividad y fomentando
el aprendizaje en los temas de física.
Los estudiantes que tienen problemas con los conceptos físicos pueden encontrar en
este sistema, el aprendizaje interactivo que les permita entender fácilmente los temas.
Las simulaciones de experimentos de laboratorio no intentan sustituir los experimentos
reales, su propósito es servir como preparación de estos experimentos. Sin embargo,
los experimentos reales pueden ser costosos, peligrosos o difíciles de instalar en un
laboratorio escolar.
El sistema muestra una animación en la que los estudiantes pueden cambiar los
escenarios de acuerdo a los parámetros ingresados. Esta animación permite a los
estudiantes desarrollar mejores métodos de resolución de problemas y de estímulo
para resolverlos."	2011	Ingeniería Informática
938	Pontificia Universidad Católica del Perú	Herramienta para gestión de proyectos basada en XPDL para el proyecto Competisoft: análisis y diseño	Villegas Ortega, Sara Mirella	Título Profesional	Gamboa Fuentes, Nadia Rosa	"En el ambiente de negocios de hoy, más que nunca las organizaciones dependen
del buen resultado de sus proyectos para estar en condiciones de alcanzar una
multitud de objetivos; desde objetivos estratégicos hasta las mejoras operacionales
diarias.
El mundo en la actualidad está cambiando a velocidades inusitadas y las
organizaciones deben reaccionar rápidamente abordando proyectos que las ayuden
a alcanzar nuevos objetivos. La gestión de proyectos basada en una metodología
ordenada, sistemática y rigurosa facilita el trabajo en los proyectos que enfrentan
cada día las empresas y sus administradores. El adecuado conocimiento y
aplicación de alguna metodología para la gestión de proyectos permite crear un
ambiente de trabajo propicio y con menor variabilidad para obtener resultados
efectivos.
XPDL (XML Process Definition Language) es un lenguaje para la definición de un
flujo de trabajo propuesto por la WfMC (Workflow Management Coalition). El
objetivo de este lenguaje es proporcionar marco de referencia estándar que permita
la importación y exportación de las definiciones de procesos.
El presente trabajo de tesis presenta el desarrollo de una herramienta software
basada en el lenguaje XPDL, la cual fue concebida con el propósito de realizar el
seguimiento y control de cualquier tipo de proyecto de software, gestionando su
avance, plazos, esfuerzos, recursos y ofreciendo la información necesaria sobre
cada elemento para su administración oportuna, permite crear la instancia de una
metodología a través de una interfaz grafica, así como apoyar con el manejo de
otros elementos críticos en los proyectos informáticos como es la gestión de la
configuración.
Cabe resaltar que el presente proyecto es parte del componente de desarrollo de
herramientas que viene realizando el Grupo de Investigación y Desarrollo en
Ingeniería de Software y Sistemas de Información de la PUCP como parte del
Proyecto COMPETISOFT (Mejora de Procesos para Fomentar la Competitividad de
la Pequeña y Mediana Industria de Software de Ibero América)."	2011	Ingeniería Informática
939	Pontificia Universidad Católica del Perú	Herramienta para gestión de proyectos basada en XPDL para el proyecto Competisoft: construcción, pruebas e integración	Gonzáles Cajahuanca, Carlos	Título Profesional	Gamboa Fuentes, Nadia Rosa	"En el ambiente de negocios de hoy, más que nunca las organizaciones dependen
del buen resultado de sus proyectos para estar en condiciones de alcanzar una
multitud de objetivos; desde objetivos estratégicos hasta las mejoras operacionales
diarias.
El mundo en la actualidad está cambiando a velocidades inusitadas y las
organizaciones deben reaccionar rápidamente abordando proyectos que las ayuden
a alcanzar nuevos objetivos. La gestión de proyectos basada en una metodología
ordenada, sistemática y rigurosa facilita la administración de los proyectos que
enfrentan cada día las empresas y sus administradores. El adecuado conocimiento
y aplicación de estas metodologías para gestión de proyectos permiten crear un
ambiente de trabajo propicio y con menor variabilidad para obtener resultados
efectivos.
XPDL (XML Process Definition Language) es un lenguaje para la definición de un
flujo de trabajo propuesto por la WfMC (Workflow Management Coalition). El
objetivo de este lenguaje es proporcionar una manera estándar que permita la
importación y exportación de las definiciones de procesos.
El presente trabajo de tesis presenta el desarrollo de una herramienta software
basada en el lenguaje XPDL, la cual fue concebida con el propósito de realizar el
seguimiento y control de cualquier tipo de proyecto de software, gestionando su
avance, plazos, esfuerzos, recursos y ofreciendo la información necesaria sobre
cada elemento para su administración oportuna, permite crear la instancia de una
metodología a través de una interfaz grafica, así como apoyar con el manejo de
otros elementos críticos en los proyectos informáticos como es la gestión de la
configuración.
Cabe resaltar que el presente proyecto es parte del componente de desarrollo de
herramientas que viene realizando el Grupo de Investigación y Desarrollo en
Ingeniería de Software y Sistemas de Información de la PUCP como parte del
Proyecto COMPETISOFT (Mejora de Procesos para Fomentar la Competitividad de
la Pequeña y Mediana Industria de Software de Ibero América)."	2011	Ingeniería Informática
940	Pontificia Universidad Católica del Perú	Análisis, diseño e implementación de un datamart para el área de mantenimiento y logística de una empresa de transporte público de pasajeros	Zambrano Alarcón, Jaime Alexander	Título Profesional	Gamboa Fuentes, Nadia Rosa	"El presente trabajo de tesis implementa un Datamart para el apoyo al proceso de toma de decisiones del área de mantenimiento y logística de una empresa de transporte público de pasajeros.

Las empresas de transporte público de pasajeros son un tipo de empresa que maneja una gran cantidad de información día a día. Sin embargo, muchas de ellas no saben cómo administrarlo adecuadamente, debido a que sus sistemas actuales no soportan el manejo adecuado de grandes volúmenes de información. Así, las empresas de transporte público tienen el problema de utilizar su información para emplearla en la toma de decisiones. 

El objetivo principal es proveer una solución de Inteligencia de Negocios que dé soporte a las necesidades de información de los usuarios finales del área de mantenimiento y logística. 

Para llevar adelante el desarrollo del Datamart se utilizó la metodología DWEP, la cual está basada en la metodología de implementación de desarrollo de software, Rational Unified Process. Además, para una adecuada gestión del proyecto se consideraron las actividades y entregables propuestos por el PMBOK. 

La acertada selección de las actividades y las tareas de las metodologías nombradas han guiado y facilitado el desarrollo de la solución logrando un producto que cumple satisfactoriamente las necesidades de información de los usuarios. El proceso de gestión de proyecto siguiendo las recomendaciones del PMBOK, con sus tareas de planificación, estimación, seguimiento y control, ha permitido culminar el trabajo en un tiempo similar al estimado y con la calidad deseada.

Como futuras aplicaciones de la solución se propone implementar un componente de Inteligencia de Negocios basado en Balanced Scorecard, incorporar nuevas herramientas especializadas en Inteligencia de Negocios como también ampliar la funcionalidad incorporando otras áreas de una empresa de transporte público de pasajeros."	2011	Ingeniería Informática
1015	Pontificia Universidad Católica del Perú	Sistema de control, gestión y administración del servicio de taxi	Quintana Cruz, Hernán Alejandro	Título Profesional	Tuesta Soldevilla, Fernando	"Este tema de tesis tiene como objetivo presentar los lineamientos para la
implementación de una solución que, utilizando teléfonos móviles como medio de
comunicación entre participantes, soporte el servicio que ofrece una empresa de taxi.
En el capítulo 1 se da una breve introducción sobre el trabajo realizado así como
también se definen los objetivos del proyecto y el alcance del mismo.
En el capítulo 2 se analiza la situación del servicio de transporte de taxis en el Perú,
así como los procesos más importantes que las empresas llevan a cabo. Se concluye
describiendo el problema a solucionar con la implementación de la aplicación
mencionada en esta tesis.
En el capitulo 3 se hace una breve explicación sobre las diferentes tecnologías que se
utilizan en la actualidad para el desarrollo de aplicaciones con dispositivos móviles. Se
realiza una comparación entre las plataformas de desarrollo de aplicaciones móviles
más importantes del mercado: J2ME y BREW.
En el capitulo 4 se procede con el análisis de la aplicación a desarrollar especificando
requerimientos y casos de uso que se tomaron en cuenta para el desarrollo de la
solución.
El capitulo 5 explica el proceso de diseño poniendo énfasis en la arquitectura en la
cual se enmarca la solución.
El capitulo 6 contiene los detalles de la implementación de la aplicación así como los
casos de prueba desarrollados para asegurar la calidad y el buen funcionamiento de la
solución.
Para finalizar, en el capitulo 7 se exponen las conclusiones a las que se llegó luego del
desarrollo del proyecto así como recomendaciones y sugerencias que deberían
tomarse en cuenta en desarrollos y/o posteriores ampliaciones."	2012	Ingeniería Informática
1114	Pontificia Universidad Católica del Perú	Modelo de alfabetización informacional con el uso de las tecnologías de la información y comunicación a través de una biblioteca rodante o tecnobús en el distrito de Pueblo Libre (Lima)	Verde Heidinger, Marco Antonio	Título Profesional	Callupe Pérez, Rocío Liliana	"La inteligencia del ser humano y su capacidad de innovación han posibilitado el
desarrollo de elementos diversos para facilitar su modo de vida a través de la
historia. Su evolución dependió, en muchos casos, de estas innovaciones como
por ejemplo, las armas de piedra, la rueda, el hierro, entre otros.
La información y la comunicación también formaron parte de la evolución del
hombre; sin éstas, no hubiera sido posible gestionar el conocimiento para
consolidar ideas que convergieran en la ejecución de algún plan o proyecto y
lograr el bienestar común.
La transmisión de hechos y acontecimientos, de generación a generación, por
medio del lenguaje oral fue relevante, sin embargo no fue suficiente por la
tergiversación de información que ésta incluía. Por ello, fue necesario el
desarrollo de elementos o soportes identificables y comprensibles por el ojo
humano para registrar datos.
En tal sentido, la impresión iconográfica en soportes naturales, como la piedra
y pieles de animales y la transmisión de datos mediante el lenguaje oral,
fueron relegados a partir de la invención de la escritura y materiales como el
papiro, el pergamino o el papel, que subsisten hasta nuestros días.
Los manuscritos pasaron a formar parte de la historia, tras la invención de la
imprenta. Este elemento revolucionó el tratamiento de la información con la
publicación, en serie, de panfletos, boletines, revistas y documentos sueltos
que luego, se convertirían en libros."	2012	Ciencias de la Información
