Institución,Título,Autor,Grado,Asesor(es),Año,Resumen,Categoría
Universidad de Lima,Estudio de prefactibilidad para la instalación de una planta productora de crema de guacamole (Persea americana millar) con chía (Salvia hispanica),"Mansilla De Ita, Jorge Andrés, Quiñe Villar, Hugo Axel",,"Collao Díaz, Martín Fidel",2020,"In Peru we have several avocado producing areas, which are: La Libertad, Lima, Ica and Junín. The departments above concentrate around 80% of the production from Peru, being Hass the most demanded avocado varieties both nationally and internationally. The results of growing trend over the demand, the new trends of healthy eating and taking Mexico as reference, country which trades the processed avocado in different presentations offering an industrialized fruit; originates the necessity of developing new alternatives that allow offering the consumers products made from avocado, such as guacamole with chia. This is an innovative idea for giving added value to the avocado through its production as puree. This mixture was chosen because of the fruit properties such as the seed, among the most important are: high fiber content, fatty acids and omega 3 which contributes to the body on enhancing the appearance of the skin, help prevent neurological diseases, regulate cholesterol levels, among others. The research work herein seeks to determine the technical, economic and market viability of the production plant of guacamole cream with chia. By analyzing the demand, we determined that our target market is the population of Metropolitan Lima of SES (Socioeconomic Status) A and B who have a healthy lifestyle.",Ingeniería industrial / Producción
Universidad de Lima,Experiencias de docentes y psicólogos educativos respecto a la inclusión de alumnos con Trastorno del Espectro Autista (grado 1) en colegios regulares privados,"Nicolini Guillén, Micaela",,"Esaine Suárez, Luis Alberto",2020,"La inclusión educativa representa una realidad en el Perú. Una variedad de diagnósticos del desarrollo neurológico se pueden encontrar en escuelas regulares, como el Trastorno del Espectro Autista (TEA). La presente investigación cualitativa, de tipo descriptivo y diseño fenomenológico, tuvo los siguientes objetivos: describir las experiencias de las docentes y psicólogas de colegios regulares respecto a la inclusión de alumnos con TEA, describir la percepción de las docentes y psicólogas respecto a sus habilidades para lograr la inclusión, identificar los factores que facilitan la inclusión de alumnos con TEA a escuelas regulares e identificar las barreras en su inclusión. Para responder a ellos, se utilizó como instrumento una entrevista semi-estructurada con 20 preguntas, que se aplicó a una muestra de 12 personas: 6 docentes y 6 psicólogas educativas de 3 instituciones educativas privadas en Lima metropolitana. Dentro de los principales resultados, se encontró que en Lima se promueve la integración en las escuelas, mas no una verdadera inclusión. Asimismo, las estrategias en el aula para incluir a los alumnos con TEA responden a su perfil cognitivo. Por su parte, dentro de los facilitadores para su inclusión, se encuentran la preparación de los agentes educativos y su vocación de servicio, mientras que las principales barreras son representadas por las características de la comunidad educativa y desinformación. Dentro de las principales conclusiones, se encontró que es necesaria la participación de toda la comunidad educativa para alcanzar la inclusión. Asimismo, ella beneficia a todos sus participantes: desde los alumnos con TEA hasta los docentes.",Universidad de Lima
Universidad de Lima,"Desembolsos posteriores (costos) vinculados con el rubro propiedad, planta y equipo. Tratamiento contable y repercusión tributaria","Ortega Salavarría, Rosa Isabel",,"Casanova Regis Albi, Roberto",2020,"El presente trabajo de investigación, se centra en el rubro Propiedad, planta y equipo y en forma específica en los desembolsos posteriores en los que se incurren durante la vida útil del activo, ello dado que es uno de los tópicos que generan mayor dificultad para identificar si califican como costo o gasto y a nivel tributario, se generan frecuentemente controversias entre los contribuyentes y la Administración Tributaria, respecto al tratamiento que corresponde otorgarles.
Al respecto, dado que la Ley del Impuesto a la Renta establece una remisión expresa a las normas contables para la calificación de “costos posteriores”; se exponen los requerimientos previstos en las NIIF sobre este rubro y se complementa con el análisis y casos prácticos desarrollados en la doctrina contable que permiten apreciar la aplicación de juicios, criterios de valor y estimaciones para reconocer y medir el activo.
En atención al análisis efectuado se concluye que, si bien la Ley del Impuesto a la Renta efectúa una remisión expresa a las normas contables, ello no implica que se desnaturalicen los principios rectores del impuesto a la renta, como es la prohibición del uso de estimaciones. A tal efecto, se muestra un cuadro consolidado que permite apreciar según supuestos específicos de costos posteriores las diferencias que se producirían entre el tratamiento financiero vs. el tratamiento tributario.",Universidad de Lima
Universidad de Lima,Programa de intervención en las necesidades psicológicas básicas de niños de 8 a 10 años de un centro psicológico privado de Lima Metropolitana,"Eyzaguirre Alemán, Judith Betsabet",,"Flores Giles, Zoila Magaly",2020,"En
el marco de la teoría de las necesidades psicológicas básicas ( este programa de
intervención fue diseñado con un enfoque preventivo y con el objetivo de fortalecer las
necesidades de a utonomía, c ompetencia y r elación en 9 niños de 8 a 10 años de un centro
psicológico de Lima Metropolitana. A través de diez sesiones de trabajo este programa,
dedica un módulo de intervención de tres sesiones por cada necesidad. Con actividades
que fomenten la motivación, la libertad de elección, el aprendizaje de estrategias para
enfrentar los diferentes retos del entorno y el reconoc imiento de un grupo de soporte del
que se sienten parte importante. Se realizó una evaluación de línea base y una evaluación
de proceso con el Cuestionario de Satisfacción y Frustración de las necesidades
psicológicas básicas en la versión adaptada para ni ños. Al comparar las puntaciones
obtenidas antes y después de llevar a cabo tres sesiones del programa, se encontró
diferencias estadísticamente significativas en el nivel de satisfacción de las necesidades
psicológicas básicas y el nivel de frustración de estas sin embargo, no se podría explicar
esta diferencia por la intervención del programa, ya que este no ha sido culminado.",Universidad de Lima
Universidad de Lima,Inafectación del impuesto al consumo en la transferencia de negocios,"Yactayo Villanueva, Felipe",,"Casanova Regis Albi, Roberto",2020,"En este contexto las empresas necesitan generar valor a sus negocios como también buscar incrementar su rentabilidad y eficiencia en sus operaciones. Para lograr estos objetivos, estas deberán, en ocasiones, reorganizarse societariamente, comprar o vender aquella línea de negocio que no genere valor a la compañía o como última opción vender la empresa en su totalidad. Los inversionistas deberán analizar las opciones más beneficiosas que les permita ser más competitivos en el mercado o sector y evitar la quiebra del negocio.
Es así, que el presente trabajo de investigación tratará de abordar los aspectos fundamentales sobre la implicación del Impuesto al Consumo en la venta de negocios en la actualidad y la problemática actual que esta conlleva.",Universidad de Lima
Universidad de Lima,"La percepción del rol de la música en la comunicación de una marca: caso nueva imagen ""Siente el sabor"" de Coca-Cola","Aragon Lara, Vanessa Yvonne",,"Busse Cárdenas, Peter",2020,"This paper sought to analyze the perception of the role of music in the communication of
a brand and chose as a case study the musical composition of the commercial launch of
the new Coca-Cola image: “Siente el sabor”. We analyzed the functions of music in the
communication of a brand, first in a theorical sense and later in the specific case study.
Four roles were identified for the music in a broad sense, but no consensus was reached
about the role it plays in Coca-Cola´s case given the conflicting points of view of the
experts interviewed. On the other hand, an analysis was made from the perceptions of the
target audience of Coca-Cola about the effect that the role of music has on the
communication of the brand. The results highlighted the positive aspect of music in
reinforcing the brand's message. In conclusion, music continues to reinforce the feel of
happiness that characterizes Coca-Cola and, in turn, responds to the ""single brand""
strategy they now use.",Universidad de Lima
Universidad de Lima,"IBM del Perú: coherencia entre la gestión y la experiencia percibida entre las variables de reputación interna ""calidad laboral y condiciones de trabajo"" y ""relación con los mandos inmediatos""","Valladares Martínez, Lorena Rebeca",,"Santillán Vásquez, Manuel Ángel",2020,"En los últimos años, la reputación corporativa interna ha sido estudiada como un
fenómeno desintegrado en partes independientes en vez de ser visto como elementos de
un todo presente en el día a día de una empresa. Esta investigación tratará de encontrar la
relación interdependiente que mantienen dos variables como “la relación con los mandos
inmediatos” y “la calidad laboral y condiciones de trabajo” en una organización como
IBM del Perú, y aquel grado de coherencia entre lo que se gestiona por parte de las áreas
encargadas, y se experimenta por parte de los colaboradores de esta. Para ello, nos
apoyaremos en el modelo de gestión que Villafañe formalizó en el 2005 y que facilita el
alineamiento entre la cultura corporativa y el proyecto empresarial en las empresas. El
marco de investigación para el estudio se centró en una muestra de 50 colaboradores de
todas las áreas de la empresa, ingresantes en los últimos 10 años, así como 4
colaboradores que hayan experimentado una relación laboral con algún mando inmediato
y con la calidad laboral de IBM del Perú. Se comprobó que la reputación corporativa
interna es un factor clave solo si se gestiona de manera alineada con todas las áreas de
una empresa, con una comunicación eficiente y estableciendo una coherencia entre lo que
viven y perciben los colaboradores, y lo que se gestiona y promete.",Universidad de Lima
Universidad de Lima,"Exploración de las potencialidades del relato de corta duración en la serie web ""Romances de 20 centavos""","Pareja Mendiola, Ana Paula",,"Subauste Villanueva, Percy Reynaldo",2020,"En el siguiente documento se explica de manera detallada el proceso de creación y realización del proyecto de serie web “Romances de 20 centavos”, formulado como una exploración de las posibilidades del relato de corta duración en el formato digital en un contexto en el cual las ofertas de las series web suelen basarse en modelos narrativos que buscan simular el mecanismo de series más largas. Es así como se plantea realizar este producto generando fórmulas menos exploradas y basadas en los recursos narrativos que tienen más efectividad en la duración corta como son la dosificación de información, el uso del suspenso y de la sorpresa.",Universidad de Lima
Universidad de Lima,Estudio de prefactibilidad para la instalación de una planta productora de proteína aislada de harina de sacha inchi (Plukenetia volubilis),"Sotomayor Kamiyama, Gabriel Ernesto, Cornelio Guillermo, Jose Antonio",,"Chasquibol Silva, Nancy Ascención",2020,"The aim of this study is to determine the technological, economical, financial and social feasibility of the installation of a sacha inchi (Plukenetia volubilis). powder isolated protein production plant.
The target market of this project will be Lima Metropolitana, focused on economic sectors A and B. The product will face an estimated demand of 26.764,01 kg in 2018. The sacha inchi (Plukenetia volubilis) isolated protein will be marketed in polyethylene containers and sold online and also distributed to nutrition supplement stores.
Having executed an analysis of micro and macro location factors and being “proximity to the market” and “cost of land” the most important ones, the production plant will be located in the district of Lurin. The size of the plant will be 31.439,39 kg. of sacha inchi (Plukenetia volubilis) isolated protein.
From a technical point of view, the required technology for the production of sacha inchi (Plukenetia volubilis) isolated protein is acquirable and usable.
Finally, having determined the tangible and intangible investments, as well as the necessary working capital, it was estimated that the total investment would be S/. 1.859.337 from which 50% will be financed over a period of 5 years with an effective annual rate of 15%.
The economic evaluation results in a net present value of S/. 44.279 with an internal rate of return of 18,84%, 1,02 of benefit/cost ratio and 4,93 years of recovery period. The financial evaluation determines a net present value of S/. 239.887, an internal rate of return of 25,74, 1,26 B/C ratio and a recovery period of 4,55 years.",Ingeniería industrial / Producción
Universidad de Lima,"Impacto del consumo de fuentes de energía, sistema financiero, apertura comercial e ingreso en la degradación ambiental en el Perú desde 1971 al 2014","Asencios Lescano, Fredy Alonso","Tesis para optar el Título Profesional de Economista, Universidad de Lima","Padilla Casaverde, Ricardo Manuel",2020,"Considerando que las emisiones de gases de efecto invernadero tienen como principal determinante al consumo de fuentes de energía, entonces el mayor consumo de estas últimas a nivel global, en años recientes, toma vital importancia. En consecuencia, el propósito de esta investigación es analizar la relación causal entre la degradación ambiental, el consumo de energía, sistema financiero, apertura comercial y el ingreso en Perú para el periodo 1971-2014, horizonte en el cual el país atravesó grandes cambios, tanto económicos como sociales, así como también en un contexto energético. En cuanto a la metodología, la relación de largo plazo es explorada vía relación de cointegración, mientras que el corto plazo utiliza el enfoque de Vector de Corrección de Errores (VECM, por sus siglas en inglés). Los principales resultados del presente trabajo revelan un signo negativo en el coeficiente del sistema financiero, con lo que se infiere que el crecimiento de las finanzas en el país no se ha dado a expensas de la contaminación ambiental. Por otro lado, se encuentra que el aumento del uso de fuentes de energía, la apertura comercial y el ingreso real contribuyen a una mayor degradación ambiental. Adicionalmente, se encuentra una relación monotónica directa entre el ingreso y la degradación ambiental, con lo que se confirma que la evidencia empírica no valida la hipótesis de la curva ambiental de Kuznets en el Perú.",Ciencias empresariales / Economía
Universidad de Lima,Plan de comunicación para la ONG “Acción Emprendedora”: los retos de adaptación de los pequeños emprendimientos frente a la crisis laboral del coronavirus,"Calvo Castañeda, Geraldo Jesús, Maraví Corimanya, Luciana Sofia","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"El presente proyecto es un plan de comunicación para el desarrollo para la ONG Acción Emprendedora, la cual trabaja brindando asesorías de manera voluntaria en gestión empresarial a emprendedores de bajo recursos. Para la elaboración del plan, se hizo un análisis previo de la organización basada en investigación principalmente de tipo cualitativo mediante entrevistas y encuestas, tanto a especialistas como a voluntarios y emprendedores. Los resultados arrojaron que la crisis laboral por el coronavirus, la cuarentena y los decretos sobre protocolos de salubridad afectaron de manera profunda a las actividades de este grupo de negociantes peruanos, quienes sustentan a sus familias con las ventas que realizan al día. A esto, se le añade que cierta cantidad de emprendedores no tienen suficientes conocimientos sobre herramientas digitales, provocando que no puedan hacer uso efectivo de la venta online. Por tal motivo, se plantearon dos estrategias que abordan necesidades clave para el público beneficiario: Estrategia de reforzamiento de capacidades y Estrategia de empoderamiento y superación.",Comunicación / Comunicación para el desarrollo
Universidad de Lima,Campaña de comunicación integral para la Asociación Peruana de Agencias de Viajes y Turismo (APAVIT),"Desulovich Montero, Estefania, Espinosa Torvisco, Alejandra","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"Se desarrolla la propuesta de comunicación integral para dar a conocer la Asociación Peruana de Viajes y Turismo (APAVIT) y motivar a los jóvenes adultos de 21 a 40 años del NSE A y B a que viajen dentro del Perú luego del COVID-19. Para ello, se dará a conocer los principales atributos de las agencias de viaje y turismo asociadas.",Comunicación / Publicidad y marketing
Universidad de Lima,"Campaña de comunicación integral para la Asociación ""APAVIT""","Begazo Lozano, Kiara Pierina, Bendezú Mozaurieta, Grace Antuanet","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"Este proyecto desarrolla una campaña de comunicación integral requerida por la Asociación Peruana de Agencias de viajes y turismo (APAVIT). Nuestra estrategia de comunicación está dirigida a un público limeño de 21 a 35 años de edad, que pertenecen a un NSE A, B y C. Los cuales desean volver a viajar luego de la cuarentena, originada por la pandemia del Covid-19.",Comunicación / Publicidad y marketing
Universidad de Lima,Campaña de comunicación integral: APAVIT,"Diaz Ortega, Mercedes Alejandra, Candiotti Guillen, Marilia Noheli","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"El presente trabajo tiene como finalidad promover el turismo a través de las agencias de viaje que son socias de APAVIT. Realizamos una campaña integral con el conocimiento de que ya las agencias tradicionales no suelen ser la primera opción de los turistas nacionales, incluso antes de la pandemia. Sin embargo, rescatando que la coyuntura actual amerita seguridad y
salubridad en todos los productos y servicios que se ofrezcan al consumidor, decidimos tener un concepto creativo: ¡Deja que el
Perú te sorprenda, viaja seguro!, al cual llegamos luego de analizar los antecedentes de interés. Finalmente, mediante una
estrategia de medios online y offline, pretendemos modificar la tendencia del turista nacional de viajar de manera independiente
para la mayoría de sus viajes, cumpliendo con el objetivo principal de la campaña.",Comunicación / Comunicación corporativa
Universidad de Lima,"Campaña de comunicación integral para la Asociación Peruana de Agencias de Viajes y Turismo, APAVIT","Scott Giusti, Jaime David","Trabajo de suficiencia profesional para optar el título de Comunicación, Universidad de Lima",,2020,"El proyecto tiene como fin desarrollar una campaña de comunicación integral para la Asociación Peruana de Agencias de Viajes y Turismo, APAVIT. Con el objetivo de estimular el uso de agencias de viajes y posicionar a APAVIT como una entidad moderna y representativa del sector turismo en el Perú. Finalmente busca presentar a APAVIT como un aliado en la reactivación económica del Perú después del COVID-19 a través de su aporte a la industria del turismo peruano.",Comunicación / Comunicación corporativa
Universidad de Lima,Banco Corporativo Americano: plan de comunicación interna para el regreso a las labores presenciales en el sector financiero,"De la Puente Drago, Draco","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"A raíz de la declaración del Covid19 como una pandemia mundial por la Organización Mundial de Salud (OMS), el estilo de vida de distintas personas en Perú se ha visto alterado y las operaciones de varios sectores económicos se vieron perjudicadas gracias a la imposición de la cuarentena y el Estado de Emergencia. El Banco Corporativo Americano (BCA) sufrió un cambio en su estructura y procedimientos, por lo que la gerencia decidió optar por un plan de comunicación interna que genere un mayor acercamiento con los colaboradores durante esta crisis con el fin de salvaguardar su integridad física y su crecimiento personal frente a ella. El siguiente proyecto de licenciatura muestra un plan de gestión interna a través del Branding y diversos canales de comunicación para el retorno de los colaboradores del BCA a su sede central con un mayor sentido de identidad y engagement con la marca sin descuidar sus valores y cultura organizacional ya establecida.",Comunicación / Comunicación corporativa
Universidad de Lima,Campaña de comunicación integral para la APAVIT: Asociación Peruana de Agencias de Viaje y Turismo,"Bahamonde Tizón, Calypso Alexandra de Fátima","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"El presente trabajo tiene como objetivo principal posicionar a las agencias de viaje como la opción más confiable para organizar viajes, una vez que el sector Turismo se reactive en el contexto de la pandemia del COVID-19, gracias al respaldo que les otorga la Asociación Peruana de Agencias de Viaje y Turismo (APAVIT), de quien se busca también resaltar sus características, trayectoria y soporte al sector. Se desarrolló una campaña de comunicación integral dirigida al público objetivo, jóvenes adultos entre los 21 y 35 años de edad de los NSE A y B que deseen volver a viajar dentro o fuera del Perú luego de la pandemia. En ese sentido, se analizó la coyuntura actual del sector Turismo, la situación económica y social del país y las características del perfil del público objetivo para trabajar una nueva identidad corporativa y visual para la APAVIT, que transmita todos los beneficios que posee, bajo el concepto de “Confianza para tu viaje”.",Comunicación / Comunicación corporativa
Universidad de Lima,Campaña de Comunicación Digital Integral: Asociación Peruana de Agencias de Viajes y Turismo (APAVIT),"Villena Lopez, Fiorella Lucia, Muñoz Anco, Gerina Mercedes","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"El presente trabajo desarrolla una campaña digital de forma integral para la Asociación Peruana de Agencias de Viajes y Turismo (APAVIT) en un contexto donde el sector turismo se ha visto afectado por la pandemia del COVID-19.
Los objetivos principales son dar a conocer APAVIT, motivar y comunicar los beneficios y seguridad de viajar con agencias. Para ello, la campaña trabaja en base al concepto del reencuentro del público objetivo con ese lado viajero que se perdió por la cuarentena, bajo la mirada de un turismo más seguro, ofrecido por las agencias de viaje.",Comunicación / Comunicación corporativa
Universidad de Lima,Estrategia de intervención para elevar la satisfacción laboral en una empresa retail en Lima Metropolitana,"Sotomayor Luy, Luz Alejandra","Trabajo de Suficiencia Profesional para optar el Título Profesional de Licenciado en Psicología, Universidad de Lima","Cueva Rojas, Manuel Eduardo",2020,"El presente trabajo reporta una intervención realizada frente a un alto índice de rotación
( y niveles bajos en áreas que componen el constructo de satisfacción laboral del per-
sonal operativo en una empresa del rubro retail Los participantes se dividieron en dos grupos,
los colaboradores que ocupan las posiciones operativas (Total= y los líderes de equipo (
tal=36). El objetivo principal fue generar una estrategia para elevar el nivel de satisfacción
laboral global y las acciones estuvieron dirigidas a incrementar los índices de satisfacción in-
trínseca por el trabajo, la supervisión ejercida por sus líderes y la participación en la toma de
decisiones de equipo. Para el diagnóstico, se obtuvieron los datos por medio del áre a de recur-
sos humanos y la aplicación de la Escala de Satisfacción Laboral ECO 50 ( 2015).
En
la etapa de i mplementación se elaboró un plan de acción compuesto por sesiones diseñadas
desde la Teoría de la Autodeterminación por Ryan y Deci Se rea lizaron dos intervenciones a
49 colaboradores y una a 19 líderes de equipo. Luego de ello se realizó una evaluación de
proceso, en donde se obtuv o un nivel adecuado de satisfacción frente a las capacitaciones.",Psicología / Psicología empresarial
Universidad de Lima,Propuesta audiovisual - El rincón de Rolo,"Acosta Montenegro, Andres Alessi, Cubas Simon, Andrea","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"El año 2020 supone un hito importante en la historia actual debido a la pandemia mundial, la cual es derivada de la enfermedad Covid-19 causada por un tipo coronavirus descubierto recientemente. Gobiernos de todo el mundo han dictado medidas para evitar la propagación del virus, generando así que las personas se queden en sus casas. Es así como han surgido nuevos métodos de educación y entretenimiento a través de las nuevas tecnologías; nuestra propuesta audiovisual busca ofrecer una nueva forma de comunicación, divulgación educativa y entretenimiento por medio de internet debido a las circunstancias del momento.
“El rincón de Rolo” se trata de una serie web educativa para adolescentes. Rodrigo López, conocido por sus amigos como Rolo, es un chico de 16 años que está pasando la cuarentena en casa con su familia, al igual que muchos estudiantes a los que está dirigido este proyecto, por lo que se pueden sentir identificados con él. Rolo es un alumno ejemplar, sobre todo en la asignatura de historia, por ello decide a ayudar a su compañero Manuel a entender el curso de historia a través de videollamadas y, eventualmente, crear juntos un canal de YouTube dedicado a la historia universal.",Comunicación / Comunicación para el desarrollo
Universidad de Lima,"Mejora en el proceso de gestión de compras, respecto a la validación de nuevos materiales, gestión de no conformidades y evaluación de desempeño de proveedores en la empresa San Esteban S.A.","Álvarez Popovich, Sebastián",,"Ayala Chacaltana, Pedro Damian",2020,"At the beginning of 2019, improvement projects were undertaken in the validation process of new materials, non-conformance management and performance evaluation of suppliers; these three being part of the purchasing management process of the company San Esteban S.A. The first process showed inefficiency in management, lack of communication between the areas involved, resulting in delays in testing, disorder in the warehouse and discomfort among workers. Regarding the second process, due the activities were manual, they required a considerable amount of time, which prevented fluid communication with suppliers regarding their nonconformities. And as for the performance evaluation, it was not being objective because it just considers the criteria of quantity delivered and quality. Given this, the Ishikawa tool was used to analyze the causes and indicators were established to measure the processes; with these results, proposals were proposed and the best alternatives were selected through the Impact and Effort Impact matrix. For the first case, it was determined that it was necessary to modify the procedure and take the different action scenarios of the areas involved, the formats were modified and a flowchart was established. For the second case, the process was automated through SAP, ensuring that the communication flow is immediate and that all the information is accessible to all the areas involved. Finally, for the performance evaluation it was also included the evaluation of the supplier management system, its attention level and in the quantity criteria was taken into account the delivery times, criteria that had to be calculated.",Ingeniería industrial / Tecnología de procesos
Universidad de Lima,Comunicar para visibilizar. La importancia de las comunicaciones en una gerencia municipal,"Henriquez Balcazar, Carlos Alberto","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima","Santillán Vásquez, Manuel Ángel",2020,"El presente proyecto tiene como objetivo realizar un plan estratégico de comunicación para la Gerencia de la Mujer de la Municipalidad de Lima. Dicha entidad no cuenta con un área de comunicaciones, por lo que no logra transmitir su trabajo a la sociedad ni llegar a nuevos públicos.
Se contrató a un comunicador que se encargó de analizar la efectividad de los servicios y la imagen de la gerencia ante la sociedad; luego, se determinaron los principales problemas y se plantearon estrategias que permitieron crear nuevo contenido que obtuvo mayor alcance en las ciudadanas limeñas.
Estas acciones generaron un mayor posicionamiento de la Gerencia de la Mujer en la sociedad y permitieron formar alianzas con otras organizaciones; de esta manera, se establecieron las bases que permitieron consolidar a esta gerencia como uno de los principales entes defensores de los derechos de las mujeres en nuestra sociedad y cumplió con las metas establecidas por la Municipalidad de Lima.",Comunicación / Comunicación corporativa
Universidad de Lima,Estrategia de comunicación para el Programa piloto de consultas virtuales de Operación Sonrisa Perú,"Rondón Cantuarias, Daniela Alexandra","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"La llegada del COVID 19 a nuestro país a significado un cambio drástico en la vida de todos los peruanos y en las actividades de muchas empresas y organizaciones. Este es el caso de la Asociación Operación Sonrisa Perú, cuyos programas médicos se encuentran suspendidos, frente a sus pacientes quienes aún necesitan de cuidado y atención. El presente documento propone una estrategia para asegurar el éxito del programa piloto de consejería médica telefónica para los pacientes que seguían el tratamiento prequirúrgico. Dentro de los objetivos de la propuesta se aborda el empoderamiento de los padres de familia como principales responsables del bienestar de sus hijos. Además, se proponen acciones para procurar la continuidad de los aportes de los donantes y de la participación de los voluntarios médicos.",Comunicación / Comunicación corporativa
Universidad de Lima,Campaña de comunicación integral para incentivar los viajes a través de las agencias de APAVIT,"Palomino Boulangger, Katherine Diana, Palomino Boulangger, Karin Melissa","Trabajo de suficiencia profesional para optar el título de Comunicación, Universidad de Lima",,2020,"En el presente trabajo se desarrollará una campaña de comunicación integral para dar a conocer a APAVIT y sus agencias de viajes asociadas. Asimismo, buscaremos lograr que las personas viajen a través de agencias de viajes, una vez se levanten las restricciones. La estrategia de comunicación estará dirigida a adultos jóvenes de 21 a 35 años de todo el país, de los NSE A, B y C que desean volver a viajar dentro del Perú, al levantarse las restricciones de viaje debido al COVID-19. Para ello se utilizarán medios ATL y digitales para cumplir con los objetivos propuestos.

In this work, a comprehensive communication campaign will be developed to publicize APAVIT and its associated travel agencies. Also, we will seek to get people to travel through travel agencies, once the restrictions are lifted. The communication strategy will be aimed at young adults from 21 to 35 years old
from all over the country, from the NSE A, B and C who wish to travel again within Peru, when the travel restrictions were ended due to COVID-19. For this, ATL and digital media will be used to meet the proposed objectives.",Comunicación / Comunicación corporativa
Universidad de Lima,Representaciones de las relaciones de pareja en hombres jóvenes gays de Lima,"García Rabines, Diego Rafael","Tesis para optar el Título Profesional de Licenciado en Psicología, Universidad de Lima","Ruiz Dodobara, Fernando Gabriel",2020,"En el Perú, los hombres jóvenes gays constituyen una población vulnerable debido a la discriminación a la que están sujetas sus identidades y afectos. Este contexto social puede tornar problemático el establecer y mantener relaciones de pareja. Por tanto, esta investigación buscó analizar desde un enfoque cualitativo y queer-feminista las representaciones sociales en torno a la pareja en un grupo de nueve jóvenes gays de Lima Metropolitana (M edad = 22.56). Para ello, se aplicaron entrevistas a profundidad y se analizaron los datos mediante el análisis temático. Las representaciones estuvieron organizadas, principalmente, en torno a la reciprocidad y la expresión afectiva, valores relacionados con los modelos de relaciones igualitarias. No obstante, algunos aspectos de las representaciones fueron informados por categorías más “tradicionales”, como aquellas vinculadas con el discurso del amor romántico. Esta tensión entre ambas categorías fue negociada y resuelta a través de un proceso dinámico que les permitió a estos jóvenes ser conscientes y reflexionar sobre los discursos que informaron y habilitaron sus experiencias y significados sobre las relaciones. Esta capacidad, llamada reflexividad, les permitió ejercer agencia y alcanzar mejores resultados relacionales. Estos resultados permiten reflexionar sobre la importancia de comprender la subjetividad en interacción con los trasfondos socioculturales si se busca responder a las necesidades reales de esta población.",Psicología / Psicología social
Universidad de Lima,Plan estratégico de comunicación Banco Corporativo Americano - BCA,"Roncal Zapata, Paula Maria","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima",,2020,"Tras haberse anunciado el fin de la cuarentena por COVID-19 en el Perú, el Banco Corporativo Americano (BCA) ha diseñado un plan para el retorno de sus colaboradores a la Sede Central. Debido al riesgo sanitario que el nuevo Coronavirus representa y por orden del Ministerio de Salud, se ha desarrollado un “Plan de vigilancia, prevención y control de COVID-19 en el trabajo” con lineamientos que los colaboradores están obligados a seguir para prevenir el rebrote del virus. El equipo de Comunicación Interna ha diseñado un plan para informar a los colaboradores sobre el plan de retorno a la Sede Central y sensibilizarlos respecto al nuevo protocolo sanitario que deberán seguir a su regreso.",Comunicación / Comunicación corporativa
Universidad de Lima,Dramaturgia y puesta en escena de un unipersonal biográfico obra ¿A quién espera Olga Guillot?,"Flores Cueto, Noelia Alejandra","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima","Loli Chau, César Antonio",2020,"El presente trabajo de suficiencia profesional para obtener el Título de Licenciada en Comunicación de la Universidad de Lima es un informe teórico-práctico de la obra unipersonal “A quién espera Olga Guillot”. En este informe, se muestran el proceso creativo y el de producción, realizados por la autora, que culminan con el estreno de la obra.
En el proceso creativo, se incluyen la investigación del personaje, la exploración de la historia a través de la Técnica de Eines y la redacción del libreto. En la fase de producción, se detallan todas las acciones y los pasos que permitieron que el libreto culmine en la puesta en escena de la obra. Al final, se detallan los resultados positivos respecto de la estrategia de marketing, la masiva convocatoria de público, la selección de la obra para presentarse una temporada, el interés de TV Perú para grabar la obra e incluirla en su programación, la convocatoria para charlas y la conformación de la compañía de teatro Palco Caliente.
El presente trabajo puede servir como un manual o guía para comunicadores que estén gestando sus propios proyectos creativos o narrativos.",Comunicación / Artes visuales
Universidad de Lima,Ejecutivo contra Legislativo: cobertura de un conflicto de poderes,"Patriau Hildebrandt, Cesar Enrique","Trabajo de suficiencia profesional para optar el Título Profesional de Licenciado en Comunicación, Universidad de Lima","Carbone de Mora Campos, Giancarlo",2020,"This work concentrates on the coverage that I made for the newspaper La República on the conflict between the Executive and the Congress. This political crisis led to the constitutional dissolution of the Legislative Branch decreed by the president, Martín Vizcarra, on September 30, 2019. Includes the main articles written in that period and develops the main lessons learned.",Comunicación / Periodismo y gestión de la información
